handle,Is Sybil? (T or F),"Confidence (low, so-so, high)",Notes,gitcoin_url,github_url,prediction_score,prediction_confidence,quant_1,quant_2,quant_3,quant_4,quant_5,quant_6,quant_7,Human_preds
kenta-akutsu,F,high,,https://gitcoin.co/kenta-akutsu,https://github.com/kenta-akutsu,0.0,0.5634980373254499,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,3.170593691166055,0.1575633385495999,-0.3815024538170149,0
ayuanio,F,so-so,,https://gitcoin.co/ayuanio,https://github.com/ayuanio,0.0,0.6031605239145391,0.2252287496907314,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,0.1614734854099438,-0.2073740618793331,0
ednzarts,F,low,new user,https://gitcoin.co/ednzarts,https://github.com/ednzarts,1.0,0.4707281089917515,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.782826981363097,-0.4047195727420392,0
haurog,F,high,,https://gitcoin.co/haurog,https://github.com/haurog,0.0,0.6114955038289457,0.1546097630546988,-0.1700994446701334,-0.1152452724593598,-0.0675172724375685,-0.6382957245698645,0.668815040539559,-0.3582853348919907,0
oksbbkjs3,F,low,new user,https://gitcoin.co/oksbbkjs3,https://github.com/oksbbkjs3,1.0,0.4738124513052786,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.781849444648011,-0.3931110132795271,0
signus-sovryn,F,low,new user,https://gitcoin.co/signus-sovryn,https://github.com/signus-sovryn,0.0,0.5070694567508987,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6919160668601023,-0.3815024538170149,0
hannarii,F,low,new user,https://gitcoin.co/hannarii,https://github.com/hannarii,1.0,0.4861457338091914,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.780871907932925,-0.4395452511295755,0
bee1239,F,"low, half a dozen $1 contributions, inactive github",,https://gitcoin.co/bee1239,https://github.com/bee1239,0.0,0.5876922801708424,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.0034808219472112,-0.5726565876196148,1.591952654810045,0
noniemataki,F,high,last activity June 2021(GR 10),https://gitcoin.co/noniemataki,https://github.com/noniemataki,0.0,0.5958445429338309,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.5149819214295429,-0.3698938943545028,0
gokmenser,F,high,last activity Dec 2021(GR12),https://gitcoin.co/gokmenser,https://github.com/gokmenser,0.0,0.5621831011901688,-0.1984851701254638,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,0.8721426772774393,-0.4163281322045513,0
kelsien,F,so-so,active in last months,https://gitcoin.co/kelsien,https://github.com/kelsien,0.0,0.6571109755071214,-0.1631756768074475,-0.1700994446701334,-0.0998022752615359,-0.0675172724375685,-0.0034808219472112,0.4997011888296872,-0.3931110132795271,0
hm5285283,F,so-so,brand new gitcoin account but has few github records,https://gitcoin.co/hm5285283,https://github.com/hm5285283,0.0,0.6037832884922946,-0.1631756768074475,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.4094079562002589,-0.4163281322045513,0
testone163,F,so-so,brand new gitcoin account but has some github records,https://gitcoin.co/testone163,https://github.com/testone163,1.0,0.4846992298989522,-0.1984851701254638,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.7847820547932689,-0.4279366916670634,0
clna2402,F,high,"new account, last actived in GR12, contributed to few grants",https://gitcoin.co/clna2402,https://github.com/clna2402,0.0,0.5495131983357223,-0.2691041567614963,-0.1700994446701334,-0.1152452724593598,-0.0615406514052648,-0.6382957245698645,-0.4260260803567203,-0.3931110132795271,0
315424943,T,so-so,"no record of contribution, already banned?",https://gitcoin.co/315424943,https://github.com/315424943,0.0,0.6124252654702728,-0.1278661834894312,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.4094079562002589,2.961762671386475,1
davabright4913,F,so-so,denoted a small amount to a big number of grants in GR11,https://gitcoin.co/davabright4913,https://github.com/davabright4913,0.0,0.5849833225422261,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.5755891977648727,2.05629503331053,0
lich1122,F,high,active in last months,https://gitcoin.co/lich1122,https://github.com/lich1122,0.0,0.6204706382534402,-0.1984851701254638,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,1.2661489832980952,0.2259909086056174,-0.3931110132795271,0
llealg2,F,so-so,relatively new but no suspecious contribution,https://gitcoin.co/llealg2,https://github.com/llealg2,0.0,0.6033841901934953,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.5228022151502306,-0.3931110132795271,0
edwardtay,F,high,sufficient records for both gitcoin and github,https://gitcoin.co/edwardtay,https://github.com/edwardtay,0.0,0.6340004682717855,0.1193002697366826,0.4943661546198092,-0.0689162808658881,0.0161554220146825,3.170593691166055,2.330627456185697,-0.2770254186544059,0
ljjmu222,F,so-so,"fairly enough github records, no contribution history",https://gitcoin.co/ljjmu222,https://github.com/ljjmu222,0.0,0.6287734375204119,0.1193002697366826,-0.1700994446701334,-0.1306882696571836,-0.0615406514052648,-0.0034808219472112,1.4909234179268542,0.3614453517837606,0
rezniktetsuo,F,so-so,attended some previous GRs,https://gitcoin.co/rezniktetsuo,https://github.com/rezniktetsuo,0.0,0.5500825967128358,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.4348239107924939,-0.3815024538170149,0
kendy007,F,so-so,fairly new gitcoin account,https://gitcoin.co/kendy007,https://github.com/kendy007,0.0,0.5674926899976352,-0.1984851701254638,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6098029827928815,-0.3698938943545028,0
patpw,F,high,fairly enough gitcoin records,https://gitcoin.co/patpw,https://github.com/patpw,0.0,0.6136040932816653,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.5306225088709183,-0.4047195727420392,0
